kingdom	family	EN0.2A	EN0.2B	EN0.2C	OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C
Fungi	Dothioraceae	0	0	0.312460013155116	0	0	-1.60446259902695	2.26046879886735	-0.323528753564881	-1.01667593412483	-0.193475625316683	-0.12285805810273	0	0	0.688072158113599	0
Fungi	Saccotheciaceae	-2.01135591720446	0	1.66332750367627	-3.61021172030802	0.102075824703929	0.479737230441041	2.17345150558764	-3.41915648354531	0.617006123294052	-0.203764982759722	1.29934238774978	0.560931426709992	-0.0807600031221876	0.818095666929866	1.61128143784712
Fungi	Dissoconiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Teratosphaeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Didymellaceae	0	0	0.983132949886181	0	0	-0.425634267085768	0	0	-0.951727362982547	0	-1.03177007065608	-0.0201691589776036	0	0	1.44616790981582
Fungi	Hermatomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Leptosphaeriaceae	0	0	0	-0.228051397987966	0.465095782571979	0.0596306744638149	0	0	-0.815838062890085	0	0.519163003842255	0	0	0	0
Fungi	Massarinaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Phaeosphaeriaceae	0	0	0.362119717128563	0	0.160093089255275	-0.489251468646277	0	0	0.398051726354626	0	1.12588446490246	0.599791369005682	-2.25284006090764	-0.215958133646596	0.312109296553901
Fungi	Pleosporaceae	-0.116767676064207	-1.04630363468838	0.356520028382719	-0.981765113550812	-0.353156454128437	0.0742875606985023	0	1.32705052919387	-0.199005774301179	-3.06120665523065	1.98543907638864	1.22925278591774	-1.26944718600259	0.734282533941547	1.32081997944323
Fungi	Thyridariaceae	0	0	0	-0.125657214140453	0	0	0	0	0	0	0.125657214140453	0	0	0	0
Fungi	Superstratomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Sympoventuriaceae	0	0	0	0	0	-0.14384103622589	0	0	0	0	0	0	0	0	0.14384103622589
Fungi	Venturiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Chaetothyriaceae	0	0	0.866188656086841	0	0	-0.43309432804342	0	0	-0.43309432804342	0	0	0	0	0	0
Fungi	Cyphellophoraceae	-2.65706841620011	0	0	0	1.14959407357021	-1.40430544770474	2.59520501184652	0	0	0.0509817849021035	0	-0.354483323206061	0	0.62007631679207	0
Fungi	Epibryaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Herpotrichiellaceae	0	0	0	0	0	0.766809866001914	-0.706495872107606	0	0	0	0	-0.619484495117976	0	0	0.55917050122367
Fungi	Trichomeriaceae	0	0	0.308926695503421	0	0	0.137076438576762	0	0	0.254859474233145	0	1.35347176290126	-0.843752814434964	-1.94236510310307	0.731783546323455	0
Fungi	Aspergillaceae	1.45359627605152	0	0	-1.24328062445256	0	1.65630778854853	0	-0.262451371440836	0	0	1.43086802497397	0	0	-3.03504009368062	0
Fungi	Mycocaliciaceae	0	0	0	0	0	-1.43819275796071	0	0	0	0	0	0	1.43819275796071	0	0
Fungi	Arthrodermataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Spiromastigoidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Phaeomoniellaceae	0	0	2.48935620794174	0	0	-1.66639698240901	0	-1.88954053372322	1.94452093023522	0	0	0	-0.877939622044736	0	0
Fungi	Verrucariaceae	-1.62827785237639	0	1.40667513433088	0	0	0	0	0	0	0.0581211011938398	0	0.163481616851666	0	0	0
Fungi	Herpomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Pyxidiophoraceae	0	-1.56757691772314	1.59366979430843	0	0	0.155189680017964	0	0	-0.181282556603249	0	0	0	0	0	0
Fungi	Physciaceae	0	0	0	0	0	-2.88780042949743	0.408036436506895	1.00401986861319	0.513396952164721	0	0	0.962347172212624	0	0	0
Fungi	Lecanoraceae	-0.19994505235266	0	-0.835933819072657	0	0	0.617499844884863	0.224938141612606	-1.64686403528899	0.577759516235349	0.937133517143245	-0.19994505235266	-0.142786638512712	0	0	0.668143577703618
Fungi	Parmeliaceae	0	0	1.99422215883267	0	0	0	0	0	0.530024128287989	0.0963881432131286	0	-1.51304976922097	0	0	-1.10758466111281
Fungi	Psoraceae	0	0	0	0	0	0	0	0	0	0	0	-0.542006744623478	0	0	0.542006744623479
Fungi	Ramalinaceae	0	0	0	0	0	-0.131182132233746	0	0	0	0	0	0.131182132233745	0	0	0
Fungi	Sphaerophoraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Stereocaulaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Leprocaulaceae	0	0	1.08740874813535	0	0.188662325912101	0	0	0	0.754470084095445	0	0	-2.03054115814289	0	0	0
Fungi	Graphidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Stictidaceae	0	0	0	0	0	0	0	-0.604126252143597	0	0	0	0.648636716351771	0	-0.0445104642081742	0
Fungi	Peltigeraceae	0	0	0.834578573567861	0	0	0	0	0	0	0	0	-0.834578573567862	0	0	0
Fungi	Megasporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ochrolechiaceae	0	0	0.410069754489169	0	0	-0.352070297557728	0	0	0	0	0.535232897443175	-0.593232354374616	0	0	0
Fungi	Teloschistaceae	0	0	0	0	0	0	0	0	0	0	0	-0.0940261157514697	0	0	0.0940261157514697
Fungi	Chaetomellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Marthamycetaceae	0	0	1.63429638668115	0	0	0	0	0	0.225529169709198	0	0	-2.17236610308917	0	0	0.312540546698828
Fungi	Erysiphaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Discinellaceae	0	0	0	0	0	0	0	0	0	-0.202732554054082	0	0.202732554054082	0	0	0
Fungi	Hyaloscyphaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Lachnaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Pseudeurotiaceae	0	0	2.53221982698304	-3.14453397528524	1.51417697763088	2.62690714784477	0	0	-1.35277450605719	0	-2.4513867947253	-2.33360375906891	1.34970464999557	1.24682398681752	0.0124664458648693
Fungi	Rhytismataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Lichinaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Peltulaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Neolectaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Orbiliaceae	0	0	1.91111096290469	0	0	0.304056841825867	0	-1.13102768346346	1.27140274450031	0	0.740774493438136	-0.4631983108878	0	-1.64185330722945	-0.991265741088297
Fungi	Ascobolaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
