	count	scientific_name	max.sample	max.ext_con
seq10001	12	Rhizophydium	0	12
seq10002	12	Sessilida	0	12
seq10059	11	Amoeboaphelidium	0	11
seq10085	11	Operculariidae	0	11
seq10151	11	Phaenocora	3	8
seq1019	3477	Holosticha	262	946
seq1021	3476	NA	272	342
seq10238	11	Eumonhystera	0	11
seq1040	3350	Holosticha	252	946
seq10409	11	Rhizophydium	0	11
seq10482	10	Rhizophydium	0	10
seq105	105359	NA	5734	19
seq10732	10	Paraenchelys	5	5
seq1080	3091	Rhizophydium	110	885
seq1081	3085	NA	388	727
seq10824	10	Bacillariophyceae	0	10
seq10897	9	Saprolegnia	0	9
seq10975	9	Cryptomonas	0	9
seq10976	9	Aphelidium desmodesmi	0	9
seq1104	2898	NA	436	755
seq11040	9	NA	0	9
seq11102	9	Spumella-like flagellate JBM08	0	9
seq11150	9	Metabolomonas	0	9
seq11151	9	Eumonhystera	0	9
seq1119	2813	Aspidisca lynceus	15	877
seq11197	9	Paraenchelys	5	4
seq11310	9	Lepidodermella minus	0	9
seq11361	8	Operculariidae	0	8
seq11488	8	Chelonaplysilla	0	8
seq1154	2656	Rhizophydium	93	702
seq11557	8	Aphelidium desmodesmi	0	8
seq11589	8	Litonotus	3	5
seq11803	8	Bacillariophyceae	0	8
seq11875	8	NA	0	8
seq11876	8	NA	0	8
seq1190	2532	Aspidisca lynceus	12	741
seq12093	7	Vorticella	0	7
seq1223	2396	Heterolepidoderma macrops	0	1986
seq12261	7	Metabolomonas	0	7
seq12262	7	Trachelophyllidae	0	7
seq1262	2218	Heterolepidoderma macrops	0	1832
seq12825	6	Chelonaplysilla	0	6
seq129	87476	NA	5257	16
seq1311	2070	Dexiostoma	190	651
seq13303	5	Saprolegnia	0	5
seq13394	5	Cryptomonas	0	5
seq13395	5	Endochytrium	0	5
seq13520	5	Phaenocora	0	5
seq13521	5	Hydrurus foetidus	0	5
seq13623	5	Zoothamniidae	0	5
seq13624	5	Hydrurus foetidus	0	5
seq13625	5	Vorticella	0	5
seq13626	5	Haptorida	0	5
seq13743	5	Loxophyllum	0	5
seq1375	1874	Dexiostoma	164	589
seq1387	1839	Sphaeroeca leprechaunica	8	862
seq13975	5	Fragilariophyceae	0	5
seq14080	5	NA	0	5
seq14081	5	Sessilida	0	5
seq1411	1781	Sphaeroeca leprechaunica	8	783
seq14195	4	Saprolegniaceae	0	4
seq14196	4	Endochytrium	0	4
seq14197	4	Korotnevella	0	4
seq14305	4	Fragilariophyceae	0	4
seq14307	4	Korotnevella	0	4
seq14430	4	Zoothamniidae	0	4
seq14539	4	Cosmarium	0	4
seq14647	4	Holosticha	0	4
seq14883	4	Vannella	0	4
seq14996	4	Spirotrichea	0	4
seq15116	3	Fragilariophyceae	0	3
seq1531	1519	Cercozoa sp. Driefontein B	163	89
seq1543	1506	Cercozoa sp. Driefontein B	186	89
seq15748	3	Loxophyllum	0	3
seq15860	3	NA	0	3
seq16866	2	Fragilariophyceae	0	2
seq1735	1148	Spathidiidae	0	803
seq1738	1133	NA	0	851
seq1740	1130	NA	4	769
seq1757	1099	Microstomum	0	1099
seq1795	1059	Rhizophydium	12	616
seq1855	984	Eurotatoria	13	296
seq1863	966	NA	75	11
seq1870	952	Phialina	14	573
seq1872	950	Eurotatoria	0	652
seq1876	947	Phialina	8	505
seq1877	944	NA	78	9
seq1883	938	Eurotatoria	16	259
seq1893	928	Eurotatoria	0	604
seq1921	905	Spathidiidae	0	622
seq1950	881	Rhizophydium	0	538
seq1971	867	NA	0	723
seq1976	864	Microstomum	0	864
seq2113	744	NA	0	638
seq2133	730	Vampyrella	8	389
seq2168	705	Frontonia	0	705
seq221	46299	NA	3209	7
seq2274	644	Paraphysomonas uniformis	0	644
seq2311	620	NA	51	31
seq2317	611	Vampyrella	2	321
seq232	42386	NA	2495	9
seq2341	601	Phialina	0	601
seq2357	591	Stentor	0	462
seq2360	590	Epistylidae	3	247
seq2369	588	NA	52	33
seq2393	574	Syssomonas	0	574
seq24	701101	Cryptophyceae	35275	44
seq2406	567	Frontonia	5	562
seq2453	546	Blastocladiomycota	8	303
seq246	38695	Pirsonia guinardiae	1836	3
seq2476	532	Amastigomonas	0	501
seq2482	529	Amastigomonas	0	482
seq25	697754	Cryptophyceae	29266	29
seq2506	519	Phialina	0	519
seq2510	517	Epistylidae	3	218
seq2521	511	Blastocladiomycota	6	310
seq2554	496	NA	0	496
seq2558	496	Bacillariophyta	0	259
seq2599	478	NA	0	478
seq2605	475	Rhizophydium	12	205
seq2610	474	NA	0	443
