	count	scientific_name	max.sample	max.ntc
seq10	959184	NA	196	323299
seq1255	2264	NA	0	2264
seq1323	2022	NA	0	2022
seq1402	1792	NA	0	1792
seq1422	1747	NA	0	1747
seq15	832413	Cryptophyceae	54267	1
seq1714	1167	NA	0	1167
seq1723	1155	NA	0	1155
seq176	58727	Ascomycota	11	58701
seq1784	1069	Capsicum frutescens	0	1069
seq1787	1069	NA	0	607
seq1790	1065	NA	0	1065
seq1796	1058	NA	0	1058
seq1829	1010	NA	0	623
seq1854	984	NA	0	984
seq1856	982	NA	0	982
seq1995	834	NA	0	834
seq2	1788790	Paracalanus	342877	3
seq20	768561	Mytilidae	54669	1
seq2015	817	NA	0	817
seq2030	800	NA	0	800
seq2042	791	NA	0	791
seq2046	789	NA	0	789
seq2085	761	NA	0	761
seq2109	745	NA	0	745
seq2119	741	NA	0	741
seq212	48063	Ascomycota	13	48035
seq2154	714	Capsicum frutescens	0	714
seq2177	697	NA	0	697
seq2230	668	NA	0	668
seq2287	633	NA	0	633
seq2297	627	NA	0	627
seq2305	623	Linguatula	0	623
seq2307	622	NA	0	622
seq2327	605	NA	0	605
seq2328	605	NA	0	605
seq2385	579	NA	0	579
seq2464	538	NA	0	538
seq2582	485	NA	0	485
seq2583	485	NA	0	485
seq2640	464	NA	0	464
seq2691	449	Ascomycota	0	449
seq2720	439	Ascomycota	0	439
seq2791	407	NA	0	407
seq2809	398	NA	68	153
seq2904	369	NA	41	171
seq33	555127	Micromonas	34174	1
seq3405	232	Ascomycota	0	232
seq3582	197	Ascomycota	0	197
seq3649	185	Ascomycota	0	185
seq3756	173	Ascomycota	0	173
seq38	443520	NA	52	443166
seq41	432349	NA	64	431961
seq641	8335	NA	0	8335
seq649	8206	NA	0	8206
seq7	1124395	NA	175	371197
seq7860	21	NA	0	21
seq8	1124148	Ostreococcus	83018	2
