"qseqid"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"seq409"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Mycosphaerellales"	"Mycosphaerellaceae"	"Ramularia"	"Ramularia endophylla"
"seq418"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Mycosphaerellales"	"Mycosphaerellaceae"	"Ramularia"	"Ramularia endophylla"
"seq437"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	"Ophiosphaerella"	"Ophiosphaerella herpotricha"
"seq447"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	"Ophiosphaerella"	"Ophiosphaerella herpotricha"
"seq4761"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Thyridariaceae"	"Parathyridaria"	"Parathyridaria percutanea"
"seq4884"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Thyridariaceae"	"Parathyridaria"	"Parathyridaria percutanea"
"seq5414"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Capronia"	"Capronia parasitica"
"seq6174"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Capronia"	"Capronia parasitica"
"seq5675"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Phialophora"	"Phialophora verrucosa"
"seq6921"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Phialophora"	"Phialophora verrucosa"
"seq2311"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Verticillium"	"Verticillium dahliae"
"seq2369"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Verticillium"	"Verticillium dahliae"
"seq2809"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Hypocreaceae"	"Trichoderma"	"Trichoderma reesei"
"seq2904"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Hypocreaceae"	"Trichoderma"	"Trichoderma reesei"
"seq1021"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusarium"	"Fusarium venenatum"
"seq997"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusarium"	"Fusarium venenatum"
"seq176"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Sarocladiaceae"	"Sarocladium"	"Sarocladium bactrocephalum"
"seq212"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Sarocladiaceae"	"Sarocladium"	"Sarocladium bactrocephalum"
"seq2691"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Sarocladiaceae"	"Sarocladium"	"Sarocladium bactrocephalum"
"seq2720"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Sarocladiaceae"	"Sarocladium"	"Sarocladium bactrocephalum"
"seq3405"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Sarocladiaceae"	"Sarocladium"	"Sarocladium bactrocephalum"
"seq3582"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Sarocladiaceae"	"Sarocladium"	"Sarocladium bactrocephalum"
"seq3649"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Sarocladiaceae"	"Sarocladium"	"Sarocladium bactrocephalum"
"seq3756"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Sarocladiaceae"	"Sarocladium"	"Sarocladium bactrocephalum"
"seq3350"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Xylariales"	"Diatrypaceae"	"Diatrype"	"Diatrype disciformis"
"seq6614"	"Fungi"	"Basidiomycota"	"Atractiellomycetes"	"Atractiellales"	"Helicogloeaceae"	"Neogloea"	"Neogloea variabilis"
