"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"Fungi"	"Ascomycota"	"Arthoniomycetes"	"Arthoniales"	NA	NA	"cf. Arthoniales sp. CCFEE 5176"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	"Microcyclospora"	"Microcyclospora malicola"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Dothideales"	"Dothioraceae"	"Sydowia"	"Sydowia polyspora"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Dothideales"	"Saccotheciaceae"	"Aureobasidium"	"Aureobasidium pullulans"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Mycosphaerellales"	"Dissoconiaceae"	"Uwebraunia"	"Uwebraunia dekkeri"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Mycosphaerellales"	"Teratosphaeriaceae"	"Teratosphaeria"	"Teratosphaeria molleriana"
"Fungi"	"Ascomycota"	"Dothideomycetes"	NA	NA	"Coniosporium"	"Coniosporium uncinatum"
"Fungi"	"Ascomycota"	"Dothideomycetes"	NA	NA	NA	"Dothideomycetes sp. LS-2013g"
"Fungi"	"Ascomycota"	"Dothideomycetes"	NA	NA	"Peltaster"	"Peltaster cerophilus"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Didymellaceae"	"Boeremia"	"Boeremia exigua"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Didymellaceae"	"Phoma"	"Phoma herbarum"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Hermatomycetaceae"	"Hermatomyces"	"Hermatomyces sphaericus"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Leptosphaeriaceae"	"Leptosphaeria"	"Leptosphaeria biglobosa"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Leptosphaeriaceae"	"Leptosphaeria"	"Leptosphaeria maculans"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Massarinaceae"	"Helminthosporium"	"Helminthosporium microsorum"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	"Ophiosphaerella"	"Ophiosphaerella herpotricha"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	"Parastagonospora"	"Parastagonospora nodorum"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	"Phaeosphaeria"	"Phaeosphaeria anchiala"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	"Phaeosphaeria"	"Phaeosphaeria sp. Sn 48-1"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"Alternaria alternata"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"Alternaria solani"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Thyridariaceae"	"Parathyridaria"	"Parathyridaria percutanea"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Superstratomycetales"	"Superstratomycetaceae"	"Superstratomyces"	"Superstratomyces albomucosus"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Venturiales"	"Sympoventuriaceae"	"Pseudosigmoidea"	"Pseudosigmoidea excentrica"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Venturiales"	"Sympoventuriaceae"	"Scolecobasidium"	"Scolecobasidium mirabilis"
"Fungi"	"Ascomycota"	"Dothideomycetes"	"Venturiales"	"Venturiaceae"	"Venturia"	"Venturia effusa"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Chaetothyriaceae"	"Ceramothyrium"	"Ceramothyrium carniolicum"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Cyphellophoraceae"	"Cyphellophora"	"Cyphellophora laciniata"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Epibryaceae"	"Epibryon"	"Epibryon intercapillare"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Bonordeniella"	"[Coniosporium] sp. MA 4597"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Cladophialophora"	"Cladophialophora proteae"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Exophiala"	"Exophiala xenobiotica"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	NA	NA	"Chaetothyriales sp. AL4"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	NA	NA	"Chaetothyriales sp. CTeY7"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	NA	NA	"Chaetothyriales sp. MCRE14"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	NA	NA	"Chaetothyriales sp. MMO9"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	NA	NA	"Chaetothyriales sp. TRN107"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	NA	NA	"Chaetothyriales sp. TRN210"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Trichomeriaceae"	"Knufia"	"Knufia perforans"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Eurotiales"	"Aspergillaceae"	"Aspergillus"	"Aspergillus niger"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Eurotiales"	"Aspergillaceae"	"Penicillium"	"Penicillium expansum"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Mycocaliciales"	"Mycocaliciaceae"	"Chaenothecopsis"	"Chaenothecopsis savonica"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	NA	NA	NA	"Eurotiomycetes AZ0963"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Onygenales"	"Arthrodermataceae"	"Arthroderma"	"Arthroderma terrestre"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Onygenales"	"Spiromastigoidaceae"	"Spiromastigoides"	"Spiromastix sp. 15a1-CH09"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Phaeomoniellales"	"Phaeomoniellaceae"	"Aequabiliella"	"Aequabiliella effusa"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Phaeomoniellales"	"Phaeomoniellaceae"	"Minutiella"	"Minutiella tardicola"
"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Phaeomoniellales"	"Phaeomoniellaceae"	"Neophaeomoniella"	"Neophaeomoniella zymoides"
