kingdom	family	EN0.2A	EN0.2B	EN0.2C	OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C
Fungi	Mycosphaerellaceae	0	0	0	0	0	-0.554517744447956	0	0	-0.554517744447956	0	0.138629436111989	0.138629436111989	0	0.831776616671934	0
Fungi	Herpotrichiellaceae	0	0	0	0	0	0	0	-0.693147180559945	0	0	0	0	0	0	0.693147180559945
Fungi	Trichomeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Diaporthaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Saccotheciaceae	0	0	-2.0219601380135	0	-2.0219601380135	-0.517882741237225	1.8387695730271	-1.61649502990533	-0.769197169518131	0	-0.0760499889581858	0.375935134784872	1.54757255846787	1.15609369233445	2.10517424703159
Fungi	Erysiphaceae	0	0	0	0	0	0	0.202732554054082	-0.895879734614027	0	0	0	0.202732554054082	0	0.490414626505863	0
Fungi	Aspergillaceae	0	0	0	0	0	-0.0932692979892371	0	0	-0.786416478549182	0	0	0.599877882570708	-0.786416478549182	1.15949367050613	-0.0932692979892371
Fungi	Glomerellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Plectosphaerellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Dermateaceae	0	-0.326943084337242	0	0	0	0	0	0	0	0	0.653886168674484	0	0	-0.326943084337242	0
Fungi	Hyaloscyphaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Sclerotiniaceae	0	0.0507331133392901	0	0	-0.267720617779245	-0.267720617779245	0	0	0.217787198002456	0	-0.0445770664650347	-0.96086779833919	-0.267720617779245	0.486051184597136	1.05403522220307
Fungi	Hypocreaceae	0	0	0	0	0	0	0	1.19837622539864	-0.747533923656674	0	-0.0543867430967283	0	0	-0.747533923656674	0.351078365011436
Fungi	Nectriaceae	0	0	0	0	0	0	0	0	0	0	0	0.346573590279973	0	0	-0.346573590279973
Fungi	Ramalinaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Pyriculariaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ophiostomataceae	0	0	0	0	0	0	0	0	0	0.111571775657105	0	0	0	0	-0.111571775657105
Fungi	Patellariaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Didymellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Leptosphaeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Phaeosphaeriaceae	0	0	0	0	0	-1.19687293569551	0	0	0	-0.791407827587347	0	1.57571578654427	0	0	0.412564976738589
Fungi	Pleosporaceae	0	-1.41744866032647	0	0	0	0	-1.01198355221831	0	0	0.0866287364497995	0.933926596837003	0.191989252107626	0	1.02489837504273	0.191989252107626
Fungi	Debaryomycetaceae	0	0	0	0	0	-0.794513457586986	0	0	0.591780903532904	0	0	0	0	0.997246011641069	-0.794513457586986
Fungi	Dipodascaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
