superkingdom	kingdom	phylum	class	order	family	genus	species
Archaea	NA	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum
Archaea	NA	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_24_H11
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_25_G08
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_31_G08
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_37_D10
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_41_H02
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_42_E08
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_51_A05
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_53_F06
Archaea	NA	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_56_F06
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_70_D10
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_72_F07
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_73_B11
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_78_D03
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_79_B12
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_84_A09
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote SAT1000_10_G06
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote SAT1000_10_G09
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote SAT1000_27_H05
Archaea	NA	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp. YE315
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured thaumarchaeote
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	NA
Archaea	NA	NA	NA	NA	NA	NA	anaerobic archaeon MK-D1
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S02-C115
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S04-C140
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S04-C163
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S08-C16
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S08-C37
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S08-C82
Archaea	NA	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S09-C50
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S11-C473
Archaea	NA	NA	NA	NA	NA	NA	uncultured sediment archaeon
Archaea	NA	NA	NA	NA	NA	NA	NA
Archaea	NA	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae
