superkingdom	kingdom	phylum	order	class	family	genus	species	06-mergeLCA//A0_2	06-mergeLCA//B0_2	06-mergeLCA//C0_2	06-mergeLCA//A1_2	06-mergeLCA//B1_2	06-mergeLCA//C1_2	06-mergeLCA//A5_0	06-mergeLCA//B5_0	06-mergeLCA//C5_0	06-mergeLCA//A8_0	06-mergeLCA//B8_0	06-mergeLCA//C8_0	06-mergeLCA//GP_1	06-mergeLCA//GP_2	06-mergeLCA//GP_3
Archaea	NA	Crenarchaeota	Thermoproteales	Thermoprotei	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Archaea	NA	Crenarchaeota	NA	NA	NA	NA	uncultured crenarchaeote	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0
Archaea	NA	Crenarchaeota	NA	NA	NA	NA	uncultured marine crenarchaeote	4	3	1	0	0	0	0	0	0	0	0	0	3	3	1
Archaea	NA	Euryarchaeota	Candidatus Poseidoniales	Candidatus Poseidoniia	Candidatus Thalassarchaeaceae	Candidatus Thalassarchaeum	Candidatus Thalassoarchaea marina	9	1	2	4	4	1	0	0	0	0	0	0	7	1	1
Archaea	NA	Euryarchaeota	Candidatus Poseidoniales	Candidatus Poseidoniia	Candidatus Thalassarchaeaceae	Candidatus Thalassarchaeum	uncultured Candidatus Thalassoarchaea euryarchaeote	111	122	168	81	114	92	8	21	10	32	15	11	208	141	159
Archaea	NA	Euryarchaeota	Candidatus Poseidoniales	Candidatus Poseidoniia	NA	NA	uncultured marine group II euryarchaeote 37F11	22	19	20	13	3	13	8	2	2	28	10	7	28	13	32
Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobacterium	Methanobacterium lacus	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobacterium	Methanobacterium paludis	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobacterium	Methanobacterium sp. MB1	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0
Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobacterium	NA	0	0	3	0	1	3	0	0	1	0	0	2	0	0	0
Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	3	2	35	10	4	79	14	6	51	14	22	59	2	14	32
Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp. YE315	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobrevibacter	NA	0	0	1	0	0	4	0	0	1	0	1	3	0	0	1
Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanothermobacter	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Archaea	NA	Euryarchaeota	Methanomassiliicoccales	Thermoplasmata	Candidatus Methanomethylophilaceae	Candidatus Methanomethylophilus	Candidatus Methanomethylophilus alvus	0	0	2	0	0	10	0	0	1	0	0	1	0	0	6
Archaea	NA	Euryarchaeota	Methanomassiliicoccales	Thermoplasmata	Methanomassiliicoccaceae	Methanomassiliicoccus	Candidatus Methanomassiliicoccus intestinalis	0	0	2	0	0	9	0	0	0	0	0	1	0	0	12
Archaea	NA	Euryarchaeota	Methanomicrobiales	Methanomicrobia	Methanocorpusculaceae	Methanocorpusculum	Methanocorpusculum labreanum	0	2	6	2	0	13	0	0	1	0	0	1	1	0	16
