OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C	EN0.2A	EN0.2B	EN0.2C
95.71	97.51	93.88	88.96	87.95	87.54	7.39	4.89	7.52	7.54	3.28	4.28	88.16	77.17	89.39
1.62	0.63	3.6	4.09	5.24	3.34	5.02	10.26	4.59	6.03	4.13	12.15	0.83	1.81	0.49
1.08	0.71	0.78	3.23	3.87	5.07	30.32	49.63	36.93	42.23	53.62	40.05	6.76	13.6	6.38
1.01	0.67	0.52	2.46	1.98	2.42	50.55	29.26	39.02	37.49	33.81	34.16	3.25	6.23	2.83
0.18	0.17	0.26	0.44	0.22	0.48	2.99	2.25	4.46	2.84	1.5	3.98	0.18	0.17	0.28
0.13	0.09	0.08	0.19	0.15	0.06	1.62	1.14	0.31	1.23	1.56	0.44	0.16	0.25	0.04
0.05	0.01	0.09	0.02	0.01	0.16	0.04	0.23	3.82	0.82	0.74	1.36	0.07	0.23	0.07
0.05	0.05	0.16	0.12	0.26	0.16	0.69	0.73	0.17	0.66	0.26	0.24	0.26	0.21	0.03
0.04	0.02	0.05	0.07	0.05	0.11	0.51	0.47	0.96	0.35	0.28	1	0.06	0.07	0.08
0.03	0.03	0.17	0.08	0.07	0.19	0.31	0.28	0.89	0.22	0.19	0.6	0.03	0.06	0.17
0.03	0.02	0.07	0.03	0.03	0.13	0.1	0.14	0.11	0.08	0.18	0.05	0.03	0.03	0.06
0.02	0.02	0.02	0.11	0.03	0.01	0.08	0.11	0.01	0.11	0.07	0.06	0.06	0.04	0
0.01	0.02	0.22	0.08	0.06	0.23	0.17	0.29	0.75	0.18	0.15	0.74	0.07	0.05	0.1
0.01	0.01	0.02	0.02	0.03	0.02	0	0.01	0	0	0	0.01	0.03	0.02	0.01
0.01	0	0	0.01	0	0.01	0.04	0.04	0.05	0.04	0.04	0.06	0.02	0.01	0
0.01	0	0	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.03	0.01	0.01	0.01
0	0	0	0	0	0	0	0.02	0.03	0.01	0.01	0.04	0	0	0.01
0	0	0	0	0.01	0	0.02	0.02	0.02	0.03	0.03	0.03	0	0	0
0	0.01	0.01	0.01	0	0	0.03	0.02	0.03	0.03	0.01	0.04	0.01	0	0
0	0	0	0	0	0	0	0.06	0.09	0.01	0.01	0.32	0	0	0
0	0	0	0	0	0.01	0.02	0	0.02	0	0	0.09	0	0	0.02
0	0	0	0	0.01	0	0.03	0.01	0.02	0	0	0.02	0	0	0
0	0.01	0.02	0.04	0	0.02	0.02	0.04	0.12	0.04	0.05	0.19	0	0.01	0.01
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.01	0	0.01	0	0.01	0.04	0	0.01	0.01	0.01	0	0	0.01
0	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.01	0	0	0.01	0	0	0.03	0	0.01	0.02	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
