OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C	EN0.2A	EN0.2B	EN0.2C
102141	110959	96793	224685	271472	126674	17700	11688	8097	17828	9574	5424	93731	115790	75509
1726	719	3716	10333	16180	4827	12024	24517	4947	14260	12053	15393	884	2716	412
1152	813	803	8156	11949	7335	72624	118563	39782	99800	156335	50735	7187	20401	5392
1081	768	531	6206	6111	3502	121090	69902	42024	88605	98593	43268	3450	9344	2393
189	192	271	1119	665	701	7172	5384	4809	6713	4371	5039	192	252	237
135	105	81	474	462	91	3877	2734	330	2899	4538	561	170	379	36
56	14	93	55	32	228	104	544	4114	1929	2162	1725	78	351	60
49	58	164	293	806	235	1646	1753	180	1548	759	306	278	319	28
39	20	47	179	147	154	1225	1132	1035	821	826	1262	60	107	66
37	30	172	209	210	280	734	662	957	514	566	755	33	83	140
32	25	77	85	78	193	235	332	116	200	528	64	33	49	48
25	18	22	271	96	14	199	271	15	266	204	79	60	57	4
13	18	229	201	188	335	415	687	804	436	430	933	78	78	83
9	12	25	47	86	28	5	16	0	10	0	13	28	32	11
8	4	3	24	6	8	88	85	52	90	127	78	17	14	3
8	5	4	40	50	18	15	54	26	37	65	43	6	21	5
4	0	0	7	3	3	9	49	28	19	17	46	3	7	7
4	3	0	7	21	6	55	49	26	66	73	44	4	3	0
3	9	15	31	13	3	60	52	32	75	42	49	8	5	1
3	1	0	8	9	1	11	145	94	18	23	408	3	3	0
0	0	4	6	8	10	41	9	18	4	14	115	1	3	20
0	3	2	9	28	1	76	26	17	11	9	21	0	6	3
0	10	25	109	15	33	46	97	130	93	144	245	1	19	5
0	0	0	0	2	0	0	0	0	0	2	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	7	5	18	7	31	99	0	22	41	13	2	2	8
0	0	0	1	1	1	16	15	11	4	4	0	0	4	0
0	0	2	0	0	1	0	5	8	2	7	8	0	0	0
0	0	5	1	2	0	4	5	0	0	3	2	0	1	1
0	0	2	0	0	4	2	0	4	0	2	3	0	0	0
0	0	0	0	0	0	19	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
0	0	0	0	0	0	2	0	5	8	0	3	1	0	0
0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
0	0	1	0	2	1	0	10	3	0	0	0	0	0	0
0	2	7	2	1	14	0	0	36	0	31	27	1	0	3
0	0	0	0	0	1	3	0	0	0	9	4	1	1	0
0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
0	0	0	1	1	1	5	0	0	0	0	0	0	1	0
0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	12	3	0	6	0	1	2	0
0	0	2	0	0	0	0	0	0	0	6	0	2	1	0
0	0	0	1	0	0	0	6	0	0	4	2	0	0	0
0	0	0	0	0	0	3	0	0	35	3	0	0	0	0
0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
0	0	0	1	0	0	5	4	4	0	3	1	0	0	0
0	0	0	4	0	0	16	6	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
