	sample:OP0.2A	sample:OP0.2B	sample:OP0.2C	sample:OP1.2A	sample:OP1.2B	sample:OP1.2C	sample:OP5.0A	sample:OP5.0B	sample:OP5.0C	sample:OP8.0A	sample:OP8.0B	sample:OP8.0C	sample:EN0.2A	sample:EN0.2B	sample:EN0.2C	count	superkingdom_name	kingdom_name	phylum_name	class_name	order_name	family_name	genus_name	species_name	id
1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Archaea	NA	Crenarchaeota	Thermoproteales	Thermoprotei	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum	tax1
2	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5	Archaea	NA	Crenarchaeota	NA	NA	NA	NA	uncultured crenarchaeote	tax2
3	4	3	1	0	0	0	0	0	0	0	0	0	3	3	1	15	Archaea	NA	Crenarchaeota	NA	NA	NA	NA	uncultured marine crenarchaeote	tax3
4	9	1	2	4	4	1	0	0	0	0	0	0	7	1	1	30	Archaea	NA	Euryarchaeota	Candidatus Poseidoniales	Candidatus Poseidoniia	Candidatus Thalassarchaeaceae	Candidatus Thalassarchaeum	Candidatus Thalassoarchaea marina	tax4
5	111	122	168	81	114	92	8	21	10	32	15	11	208	141	159	1293	Archaea	NA	Euryarchaeota	Candidatus Poseidoniales	Candidatus Poseidoniia	Candidatus Thalassarchaeaceae	Candidatus Thalassarchaeum	uncultured Candidatus Thalassoarchaea euryarchaeote	tax5
6	22	19	20	13	3	13	8	2	2	28	10	7	28	13	32	220	Archaea	NA	Euryarchaeota	Candidatus Poseidoniales	Candidatus Poseidoniia	NA	NA	uncultured marine group II euryarchaeote 37F11	tax6
7	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobacterium	Methanobacterium lacus	tax7
8	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	4	Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobacterium	Methanobacterium paludis	tax8
9	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	5	Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobacterium	Methanobacterium sp. MB1	tax9
10	0	0	3	0	1	3	0	0	1	0	0	2	0	0	0	10	Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobacterium	NA	tax10
11	3	2	35	10	4	79	14	6	51	14	22	59	2	14	32	347	Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	tax11
12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp. YE315	tax12
13	0	0	1	0	0	4	0	0	1	0	1	3	0	0	1	11	Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobrevibacter	NA	tax13
14	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae	tax14
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanothermobacter	NA	tax15
16	0	0	2	0	0	10	0	0	1	0	0	1	0	0	6	20	Archaea	NA	Euryarchaeota	Methanomassiliicoccales	Thermoplasmata	Candidatus Methanomethylophilaceae	Candidatus Methanomethylophilus	Candidatus Methanomethylophilus alvus	tax16
17	0	0	2	0	0	9	0	0	0	0	0	1	0	0	12	24	Archaea	NA	Euryarchaeota	Methanomassiliicoccales	Thermoplasmata	Methanomassiliicoccaceae	Methanomassiliicoccus	Candidatus Methanomassiliicoccus intestinalis	tax17
18	0	2	6	2	0	13	0	0	1	0	0	1	1	0	16	42	Archaea	NA	Euryarchaeota	Methanomicrobiales	Methanomicrobia	Methanocorpusculaceae	Methanocorpusculum	Methanocorpusculum labreanum	tax18
19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Archaea	NA	Euryarchaeota	Methanomicrobiales	Methanomicrobia	Methanomicrobiaceae	Methanolacinia	Methanolacinia petrolearia	tax19
20	0	0	0	0	0	1	0	0	1	0	0	0	0	0	6	8	Archaea	NA	Euryarchaeota	Methanomicrobiales	Methanomicrobia	Methanoregulaceae	Methanoregula	Methanoregula formicica	tax20
21	0	0	0	0	0	5	0	0	2	1	0	5	0	0	1	14	Archaea	NA	Euryarchaeota	Methanomicrobiales	Methanomicrobia	Methanoregulaceae	Methanosphaerula	Methanosphaerula palustris	tax21
22	0	0	1	0	1	2	0	0	0	1	1	1	0	0	0	7	Archaea	NA	Euryarchaeota	Methanomicrobiales	Methanomicrobia	Methanospirillaceae	Methanospirillum	Methanospirillum hungatei	tax22
23	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	Archaea	NA	Euryarchaeota	Methanomicrobiales	Methanomicrobia	NA	NA	methanogenic archaeon mixed culture ISO4-G1	tax23
24	1	0	0	0	0	0	0	1	5	2	0	1	0	1	0	11	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanococcoides	Methanococcoides burtonii	tax24
25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens	tax25
26	0	0	2	1	0	14	0	0	10	1	0	4	1	0	5	38	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanomethylovorans	Methanomethylovorans hollandica	tax26
27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans	tax27
28	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri	tax28
29	0	0	2	0	1	2	0	0	3	1	0	3	0	1	0	13	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanosarcina	Methanosarcina lacustris	tax29
30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei	tax30
31	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanosarcina	Methanosarcina sp. Kolksee	tax31
