superkingdom	kingdom	phylum	class	order	family	genus	species	OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C	EN0.2A	EN0.2B	EN0.2C
Archaea	NA	Crenarchaeota	Thermoproteales	Thermoprotei	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Archaea	NA	Euryarchaeota	Methanobacteriales	Methanobacteria	Methanobacteriaceae	Methanobacterium	NA	0	0	0	0	2	2	0	0	1	0	0	3	0	0	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_24_H11	54	59	34	7	27	8	0	2	0	8	5	1	34	57	40
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium pallidum	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium ponti	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrolimnae	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum	50	66	66	67	55	64	37	100	254	86	60	203	34	40	59
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium reichenbachii	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sangjuense	4	0	5	6	8	2	4	7	32	9	7	45	1	1	7
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sediminis	1	3	17	10	7	32	24	16	46	9	19	48	2	10	5
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. 140616W15	0	0	3	4	9	11	3	34	41	18	20	69	3	3	4
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. 4H	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. CJ74	0	0	1	2	3	2	4	0	3	2	0	7	0	0	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_25_G08	66	69	63	27	20	14	3	2	3	2	2	3	63	51	53
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. D0498	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. GMA3-49	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. GMA4-118	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. GS13	0	4	24	0	14	113	14	44	349	1	10	393	0	3	50
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. HYN0086	0	3	2	0	2	1	11	5	22	3	9	24	0	4	0
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. ICM 176	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. KBS0721	1	0	4	1	7	15	17	12	27	3	14	54	1	3	5
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. KP1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Bacteria	NA	Bacteroidetes	Flavobacteriales	Flavobacteriia	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. R-38388	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
