A0_2	B0_2	C0_2	A1_2	B1_2	C1_2	A5_0	B5_0	C5_0	A8_0	B8_0	C8_0	GP_1	GP_2	GP_3
57.98	59.54	55.15	59.91	62.26	60	4.93	4.89	4.53	5.42	4.69	3.86	51.95	47.16	49.35
9.72	9.18	11.85	11.7	11.89	10.66	17.11	18.51	19.32	16.4	14.74	20.8	9.05	9.21	9.51
8.77	8.58	9.38	6.31	5.54	6	9.01	9.18	10.94	8.35	7.92	10.02	8.55	7.01	9.41
5.44	5.54	5.44	3.34	2.96	3.28	3.92	4.22	6.56	4.2	4.17	5.57	5.32	4.33	5.79
3.67	3.66	3.67	2.84	2.65	2.54	3.52	3.29	3.9	3.09	2.97	3.46	3.48	2.85	3.63
2.02	1.89	2.15	1.12	0.97	1.23	1.62	1.82	2.39	1.66	1.54	2.35	1.93	1.46	2.23
1.92	1.82	1.87	1.49	1.27	1.54	2.42	3.61	2.42	3.17	3.95	2.68	2.38	2.51	2.47
1.53	1.41	1.59	1.27	1.1	1.18	2.23	2.14	2.52	1.91	1.72	2.15	1.44	1.13	1.58
1.3	1.15	1.12	2.94	3.43	4.59	12.53	21.68	13.47	18.79	24.78	16.28	5.34	10.78	5.3
1.29	0.97	0.81	3.26	2.95	3.31	33.05	21.16	21.85	27.16	25.42	20.94	4.03	8.03	3.34
1.02	0.99	1.12	0.94	0.81	0.88	1.46	1.79	2.08	1.44	1.44	2.17	1.07	0.87	1.17
0.96	1	0.98	0.93	0.9	0.85	1	0.9	1.08	0.85	0.83	0.88	0.94	0.9	0.94
0.76	0.74	0.94	1.16	0.73	1.21	3.35	2.93	4.55	3.52	2.08	4.37	0.8	0.65	0.96
0.63	0.43	0.81	0.35	0.26	0.41	0.64	0.41	0.95	0.83	0.65	0.96	0.46	0.35	0.84
0.51	0.5	0.59	0.26	0.22	0.33	0.26	0.35	0.33	0.29	0.32	0.33	0.55	0.36	0.61
0.49	0.59	0.5	0.45	0.47	0.42	0.51	0.54	0.54	0.48	0.46	0.48	0.55	0.47	0.56
0.44	0.45	0.43	0.21	0.17	0.22	0.29	0.34	0.34	0.29	0.27	0.31	0.41	0.29	0.48
0.34	0.34	0.33	0.43	0.43	0.42	0.62	0.62	0.75	0.6	0.62	0.76	0.36	0.43	0.45
0.23	0.23	0.21	0.12	0.1	0.11	0.15	0.15	0.18	0.14	0.13	0.16	0.19	0.16	0.23
