A0_2	B0_2	C0_2	A1_2	B1_2	C1_2	A5_0	B5_0	C5_0	A8_0	B8_0	C8_0	GP_1	GP_2	GP_3
149297	155255	138390	297990	357048	236927	32176	29719	21072	34922	33703	18065	138193	168022	117519
25027	23947	29748	58201	68203	42097	111648	112478	89816	105657	105894	97253	24060	32804	22635
22591	22383	23545	31383	31758	23691	58805	55749	50840	53777	56920	46877	22741	24984	22416
14003	14433	13639	16628	16960	12936	25603	25656	30507	27063	29993	26026	14155	15413	13793
9444	9547	9222	14144	15198	10045	22940	20001	18154	19924	21359	16189	9264	10153	8655
5203	4923	5399	5579	5543	4860	10571	11061	11092	10706	11077	11008	5141	5213	5302
4944	4748	4702	7417	7280	6073	15793	21905	11251	20440	28393	12514	6341	8939	5870
3936	3669	3985	6301	6318	4672	14557	12973	11694	12292	12380	10068	3825	4024	3755
3343	3010	2821	14644	19667	18130	81784	131693	62621	121052	178068	76126	14193	38411	12623
3316	2521	2022	16207	16926	13068	215693	128538	101569	174995	182607	97922	10724	28622	7954
2617	2593	2800	4671	4636	3457	9558	10895	9647	9305	10340	10170	2833	3106	2797
2476	2614	2451	4602	5160	3342	6502	5438	5021	5467	5957	4115	2509	3189	2238
1953	1938	2358	5764	4210	4759	21873	17772	21148	22651	14929	20451	2115	2332	2276
1621	1126	2034	1755	1463	1637	4151	2482	4411	5334	4685	4500	1212	1255	2004
1305	1312	1482	1312	1254	1288	1682	2148	1545	1877	2289	1542	1474	1269	1445
1264	1541	1251	2247	2722	1673	3331	3300	2499	3113	3286	2233	1476	1688	1337
1140	1175	1072	1054	1001	850	1866	2077	1562	1891	1972	1440	1093	1030	1154
870	874	840	2125	2444	1665	4064	3790	3478	3862	4465	3573	949	1547	1063
592	600	527	580	598	450	947	895	834	928	904	727	509	560	539
469	509	586	1019	1496	877	2383	2315	1152	2649	1974	1501	777	912	476
217	185	186	141	132	104	217	229	203	232	276	180	255	195	226
192	146	174	313	426	271	1011	1101	795	1004	1281	819	217	335	221
185	182	147	359	402	267	684	561	400	487	587	398	181	212	145
166	178	186	231	253	192	519	558	447	569	665	404	198	237	165
152	165	198	278	353	212	389	365	283	381	417	286	214	188	161
149	102	152	110	63	63	115	129	118	129	199	188	172	135	163
139	99	119	344	311	242	838	729	673	832	825	788	133	264	189
137	140	168	171	233	149	387	494	348	358	462	346	169	176	139
110	71	77	71	52	84	99	164	121	119	149	118	95	83	87
103	107	114	75	70	68	170	133	91	103	113	77	82	104	109
70	85	60	112	112	93	197	154	155	160	168	157	86	69	71
66	66	74	98	98	67	134	176	171	136	177	162	68	94	52
63	60	47	83	88	60	146	126	144	181	140	138	73	69	87
63	68	75	241	228	100	331	262	238	302	305	228	74	121	78
48	95	51	589	197	39	494	432	77	498	446	171	125	125	14
34	13	10	34	14	16	64	55	31	49	70	33	17	32	29
32	56	52	105	195	90	52	15	22	13	21	11	33	57	46
30	16	14	47	36	50	141	152	119	180	207	68	43	38	21
15	16	25	26	19	17	48	24	51	99	43	63	18	22	26
12	16	15	36	48	30	139	181	70	90	152	120	35	55	31
11	21	10	45	42	17	28	83	26	63	36	29	14	27	16
10	34	23	16	31	8	59	53	57	53	42	47	10	14	18
10	11	6	22	38	26	90	121	86	48	51	162	19	29	54
10	13	15	51	53	42	86	106	37	114	162	73	16	51	18
10	13	26	38	42	34	23	24	50	26	52	43	12	20	22
9	9	4	20	28	11	23	46	13	39	71	31	6	10	21
9	8	9	20	7	4	16	23	19	30	41	50	2	10	5
7	4	8	4	5	3	9	2	4	2	2	5	5	5	4
7	7	4	16	15	5	18	14	21	13	24	22	8	14	23
5	14	10	16	5	11	3	15	8	11	9	9	12	16	11
2	0	2	1	1	2	5	22	12	15	9	17	0	3	1
2	7	0	9	12	5	31	2	13	9	10	5	2	6	0
2	4	0	1	2	4	5	5	2	5	16	6	0	0	0
2	1	2	12	9	4	33	12	12	20	12	25	2	1	1
1	0	2	4	6	4	8	19	19	8	10	10	1	1	2
0	1	0	2	4	1	4	2	6	3	9	9	2	1	0
0	3	0	2	0	0	8	3	0	2	0	2	0	2	2
0	0	0	2	0	0	8	4	1	3	1	5	0	0	0
0	0	0	3	0	0	4	0	0	0	0	0	0	0	2
0	1	1	11	5	6	13	21	34	39	30	22	1	2	0
0	0	0	0	0	3	3	0	2	0	1	0	0	0	0
0	2	0	7	5	1	0	0	6	6	0	5	3	6	0
