taxids	mrca
1002263;1267497	1267497
100229;443604	2631580
100272;152704	2759
100272;175245	2759
100272;341159	2759
100272;358574	358574
100272;404701	2759
100272;404740	2759
100272;404790	2759
100272;415893	2759
100272;475233	2759
1004786;1300255;1300258	314275
100716;517418	100716
1007618;1007619	2619880
1009101;1175969	2644629
10091;10092;10093;10096	10088
1009130;1009193;1009201;1009202;1009225	2644629
1009132;1009136;1009167;1009183;1009185;1009195;1009206;1009208;1009221;1009241;1009242;1009249;1009251;1009252;1009261;1009262;1009272;1009275;1009276;1009277	2644629
1009257;1009259;1009264;1009265;1009270	2644629
1009981;1200254	417295
101007;101015	3746
1010;350893;416016	976
1010474;1010476;1010482;1010488;1010489;1010492;1010502;1010513;1010514;1010515;1010520;1010522;1010527;1010539;1010549;1010557;1010559;1010560;1010561;1010563;1010565;1010566;1010573;1010576;1010578;1010580;1010587	1035835
1010475;1010479;1010483;1010491;1010590	1035835
1010;551990	976
10116;10118	10114
101439;101441;101442	101426
1017330;1017331;1017332	2614977
101996;197825	26867
102129;1616856;1616857	2650499
102684;150054	102684
102822;266114	102822
1029105;1029169;1029486	196821
1030539;1030546	1171708
1033840;1033861;1033863	5583
103482;103483;103484;127553	3511
1036339;1036340;1036341;1036343;1036344;1036346;1036347;1036348;1036349;1036350;1036352	48479
1037365;1349703	196814
1037963;1400580	2640095
1040989;1070003;1070022;1534853;1534901	2631580
104108;1820002	773
1041634;1041635	2613784
104252;104253;173282	3972
104270;1680681	104267
104687;104752	2784887
1050619;1050687	2626047
1050620;1050689	2626047
1050627;1050629	2626047
1050632;1050633	2626047
1050638;1050639	2626047
1050645;1050647;1050648;1050651;1050652;1050653	2626047
1050646;1050650	2626047
1050647;1050648;1050651;1050652	2626047
1050655;1050660	2626047
1050662;1050663;1050666;1050702	2626047
1050665;1050705	2626047
1050667;1050669	2626047
1050677;1050681	2626047
1050699;1050701	2626047
1051972;1051985	28091
105420;263743	228398
1054419;1054425;1054427;1054429	1354360
106139;255276	2593658
106370;258229;258230	1854
106370;573498	1854
106393;333947	35094
106592;555315	106591
106649;1341679	469
10665;336724	10662
1068530;1068558	139836
